mood,next_mood,n,prob
awful,awful,1,0.3333333333333333
awful,bad,1,0.3333333333333333
awful,meh,1,0.3333333333333333
bad,meh,29,0.6904761904761905
bad,good,7,0.16666666666666666
bad,bad,4,0.09523809523809523
bad,awful,2,0.047619047619047616
good,good,379,0.6684303350970018
good,meh,149,0.26278659611992944
good,rad,24,0.042328042328042326
good,bad,15,0.026455026455026454
meh,meh,161,0.4680232558139535
meh,good,156,0.45348837209302323
meh,bad,22,0.06395348837209303
meh,rad,5,0.014534883720930232
rad,good,26,0.6046511627906976
rad,rad,14,0.32558139534883723
rad,meh,3,0.06976744186046512
